A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
AKT2	2634	3783	5106	4209	1001	3160	4218	5079
AKT3	289	334	518	295	119	342	401	491
AKTIP	63	76	106	52	48	116	93	125
ALAD	402	546	676	626	131	373	454	600
ALAS1	1256	1786	2216	1661	382	1255	1589	1985
ALAS2	4	1	1	0	0	0	0	0
ALB	0	1	0	3	0	0	0	0
ALCAM	291	371	462	351	288	526	614	646
ALDH16A1	412	655	861	821	205	424	554	696
ALDH18A1	1740	2087	2614	2194	551	1589	1960	2403
ALDH1A1	76202	97064	117461	88150	23047	63494	74232	94336
ALDH1A2	1	0	1	0	0	0	0	0
ALDH1A3	87	128	170	162	41	122	170	190
ALDH1B1	1492	2154	2563	2275	449	1489	1793	2271
ALDH1L1	5	3	4	6	0	1	1	0
ALDH1L1-AS1	0	0	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	1	0	0
ALDH1L2	58	120	177	90	37	134	165	210
ALDH2	3190	4342	5602	4938	653	1653	2129	2666
ALDH3A1	27785	39038	51672	48639	7218	14797	18583	22995
ALDH3A2	1406	1870	2285	1882	783	1705	1995	2418
ALDH3B1	5583	7726	9628	8921	1519	3430	4304	5329
ALDH3B2	6	14	18	26	1	5	7	11
ALDH4A1	492	740	880	852	164	350	529	575
ALDH5A1	182	289	341	264	104	293	276	362
ALDH6A1	151	197	317	180	36	135	126	171
ALDH7A1	1212	1299	1665	1383	361	1184	1462	1856
ALDH8A1	1	1	1	1	0	8	0	0
ALDH9A1	321	385	582	416	132	435	506	629
ALDOA	22943	31259	40452	37625	11653	26086	33506	43058
ALDOB	0	0	0	0	0	0	0	1
ALDOC	200	192	274	259	27	120	154	173
ALG1	503	699	902	722	178	508	613	810
ALG10	10	3	10	9	0	6	22	19
ALG10B	7	2	14	10	5	25	24	41
ALG11	3	9	14	8	2	6	5	4
ALG12	515	787	1060	916	143	464	611	707
ALG13	155	136	233	220	95	181	159	259
ALG14	69	80	120	79	19	72	82	138
ALG1L	3	0	5	10	0	0	2	4
ALG1L2	1	2	0	1	0	0	1	0
ALG1L9P	6	10	12	24	4	5	8	12
ALG2	461	541	703	543	192	454	492	602
ALG3	1167	1470	2064	1667	344	946	1277	1665
ALG5	67	60	150	87	52	76	118	117
ALG6	12	13	21	17	2	5	7	36
ALG8	97	120	186	157	68	148	167	217
ALG9	75	84	184	88	53	117	126	154
ALK	0	0	0	1	0	0	2	0
ALKBH1	125	170	250	165	67	118	222	257
ALKBH2	437	600	835	601	166	375	523	763
ALKBH3	279	343	393	380	98	241	300	381
ALKBH3-AS1	0	0	0	0	0	0	0	0
ALKBH4	153	237	324	371	46	152	185	265
ALKBH5	1633	2228	2939	2510	721	1904	2330	3018
ALKBH6	489	579	918	851	185	342	367	501
ALKBH7	406	563	735	767	177	284	336	424
ALKBH8	21	46	40	31	10	39	46	72
ALLC	0	0	0	2	0	0	1	0
ALMS1	89	131	166	103	54	187	159	169
ALMS1-IT1	1	1	0	0	0	2	0	1
ALMS1P1	0	0	1	8	0	1	2	1
ALOX12	2	2	5	4	1	0	5	7
ALOX12-AS1	10	14	24	26	3	6	23	15
ALOX12B	13	23	36	31	5	2	10	11
ALOX12P2	7	8	12	21	1	4	8	20
ALOX15	1	1	0	2	0	0	0	1
ALOX15B	2	6	0	0	0	1	0	1
ALOX15P1	0	0	0	0	0	0	0	0
ALOX5	31	21	27	34	0	0	3	1
ALOX5AP	12	27	24	32	3	19	17	24
ALOXE3	60	67	100	60	12	26	36	52
ALPI	1	0	0	1	2	0	4	8
ALPK1	119	131	184	154	51	128	146	219
ALPK2	554	598	891	585	201	749	724	963
ALPK3	10	13	7	18	5	13	18	6
ALPL	6	15	2	7	3	4	3	0
ALPP	1	1	2	0	1	0	2	2
ALPPL2	1	1	0	0	1	0	1	0
ALS2	133	202	282	173	99	231	273	292
ALS2CL	59	92	144	116	12	29	28	40
ALS2CR11	0	0	0	0	0	1	0	1
ALS2CR12	0	0	0	0	0	1	0	0
ALX1	52	86	97	62	18	62	77	97
ALX3	7	12	4	16	1	3	4	10
ALX4	152	241	362	210	35	158	222	292
ALYREF	777	1117	1374	1304	878	1535	2059	2485
AMACR	49	93	118	107	18	69	82	83
AMBN	0	0	0	0	0	0	0	0
AMBP	79	74	112	108	11	36	44	63
AMBRA1	662	947	1232	985	145	504	761	795
AMD1	90	110	213	126	164	205	274	399
AMDHD1	10	40	27	35	11	12	21	23
AMDHD2	179	221	352	291	70	152	180	177
AMELX	0	0	0	0	0	0	0	0
AMELY	0	0	0	0	0	0	0	0
AMER1	69	117	148	88	15	104	132	160
AMER2	0	0	0	0	0	0	0	0
AMER3	0	1	0	0	1	0	0	0
AMFR	2079	2988	3668	3047	756	1948	2277	3114
AMH	82	76	98	130	41	109	128	140
AMHR2	23	54	25	71	7	20	20	23
AMIGO1	18	23	21	31	2	9	5	17
AMIGO2	2860	3719	5080	3867	1141	3322	4135	5320
AMIGO3	74	113	156	146	24	73	82	88
AMMECR1	42	36	67	44	6	80	63	95
AMMECR1L	216	292	338	283	84	302	305	479
AMN	6	12	2	15	3	1	6	2
AMN1	22	30	40	19	5	16	32	22
AMOT	5	3	2	5	1	7	2	6
AMOTL1	133	216	217	187	26	111	149	164
AMOTL2	1196	1559	2100	1692	467	1574	1828	2335
AMPD1	0	0	0	0	0	0	1	0
AMPD2	505	569	796	734	160	432	569	675
AMPD3	223	372	491	327	65	137	183	220
AMPH	0	5	6	2	1	4	0	0
AMT	8	7	12	24	6	11	21	14
AMTN	59	70	130	105	15	51	51	68
AMY1A	0	0	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0	0	0
AMY2B	1	6	4	2	2	0	1	0
AMZ1	1	1	4	2	0	2	0	2
AMZ2	1073	1288	1949	1357	434	805	1048	1424
AMZ2P1	36	82	67	86	14	57	58	69
ANAPC1	236	339	493	370	202	466	584	838
ANAPC10	52	87	87	59	19	47	49	87
ANAPC11	1118	1592	1955	1955	685	1134	1720	1898
ANAPC13	189	250	289	221	87	187	235	327
ANAPC15	159	208	319	240	74	250	279	370
ANAPC16	1291	1771	2200	1766	298	1136	1390	1900
ANAPC1P1	0	1	0	0	0	0	1	0
ANAPC2	726	1095	1456	1186	308	613	957	1127
ANAPC4	34	38	41	16	15	9	29	60
ANAPC5	1364	1889	2157	2032	644	1645	2194	2665
ANAPC7	781	1048	1276	1119	348	796	1063	1345
ANG	78	78	146	110	17	53	60	97
ANGEL1	239	345	458	336	96	370	402	505
ANGEL2	96	128	182	135	24	144	141	215
ANGPT1	0	0	2	3	1	1	6	6
ANGPT2	2	0	0	0	0	1	2	6
ANGPT4	0	1	2	2	0	3	1	3
ANGPTL1	0	0	1	1	0	0	0	0
ANGPTL2	0	1	2	0	0	1	0	0
ANGPTL3	0	0	0	0	0	0	0	0
ANGPTL4	437	631	876	828	151	327	368	509
ANGPTL5	0	0	0	0	0	0	0	0
ANGPTL6	2	1	9	1	1	0	0	1
ANGPTL7	0	0	0	0	0	0	0	0
ANGPTL8	2	0	1	1	0	0	0	0
ANHX	1	0	0	0	0	0	0	0
ANK1	116	235	252	237	14	35	57	48
ANK2	147	209	210	128	55	197	206	309
ANK3	19	24	20	15	3	5	10	7
ANKAR	0	1	1	0	1	0	2	0
ANKDD1A	15	18	21	19	7	9	9	25
ANKDD1B	0	0	0	1	0	0	0	5
ANKEF1	193	228	272	191	68	209	195	233
ANKFN1	2	5	0	1	0	0	2	1
ANKFY1	855	1245	1554	1149	359	1163	1380	1791
ANKH	237	343	434	389	109	321	428	512
ANKHD1	24	25	47	26	7	16	12	30
ANKHD1-EIF4EBP3	63	58	122	83	18	45	61	78
ANKIB1	131	234	285	219	93	318	395	474
ANKK1	2	3	0	4	0	0	1	2
ANKLE1	20	2	12	19	9	6	9	8
ANKLE2	1095	1466	1964	1630	531	1323	1814	2163
ANKMY1	74	102	138	123	18	92	113	123
ANKMY2	67	85	76	68	49	96	111	147
ANKRA2	110	154	164	123	34	53	85	112
ANKRD1	265	325	431	323	75	206	296	334
ANKRD10	170	240	393	250	115	215	311	360
ANKRD11	2356	3254	4503	3823	1210	2918	3331	4137
ANKRD12	26	42	42	38	21	47	43	56
ANKRD13A	138	211	220	142	44	224	183	252
ANKRD13B	533	667	977	817	171	433	603	706
ANKRD13C	36	36	70	69	20	50	45	99
ANKRD13D	431	473	706	660	164	222	333	464
ANKRD16	161	197	260	226	95	124	193	271
ANKRD17	493	558	721	577	181	545	720	868
ANKRD18A	10	20	30	25	4	22	30	40
ANKRD18B	18	18	58	25	11	33	32	39
ANKRD18DP	0	0	1	0	0	0	0	0
ANKRD19P	92	123	122	210	71	50	76	76
ANKRD2	67	97	134	101	31	81	52	69
ANKRD20A1	0	0	0	0	0	0	0	0
ANKRD20A11P	4	2	0	1	0	2	0	4
ANKRD20A12P	1	3	7	6	0	1	4	3
ANKRD20A19P	0	0	1	0	2	0	1	0
ANKRD20A2	0	0	0	0	0	0	0	0
ANKRD20A3	0	0	0	0	0	0	0	0
ANKRD20A4	0	0	0	0	0	0	0	0
ANKRD20A5P	4	7	27	13	2	2	5	5
ANKRD20A8P	0	0	0	0	0	0	0	0
ANKRD20A9P	4	0	0	1	1	0	0	0
ANKRD22	26	35	42	46	4	13	12	21
ANKRD23	17	20	39	49	6	15	14	18
ANKRD24	40	52	80	106	3	8	11	26
ANKRD26	7	22	18	11	19	18	18	22
ANKRD26P1	1	0	0	1	0	0	0	0
ANKRD26P3	0	0	0	0	0	0	0	0
ANKRD27	455	595	775	704	313	702	804	1037
ANKRD28	112	162	240	190	98	283	352	391
ANKRD29	184	237	309	207	51	106	148	203
ANKRD30A	0	0	0	0	5	4	1	13
ANKRD30B	0	0	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0	0	0
ANKRD30BP2	1	0	0	0	0	0	0	0
ANKRD30BP3	0	0	1	0	0	0	0	1
ANKRD31	0	1	0	1	0	4	1	4
ANKRD33	0	0	2	0	1	1	1	1
ANKRD33B	98	126	200	170	61	149	192	315
ANKRD34A	20	21	44	27	6	8	11	18
ANKRD34B	2	1	2	1	3	0	0	4
ANKRD34C	0	0	0	1	0	0	0	0
ANKRD34C-AS1	0	0	0	0	0	0	0	0
ANKRD35	1	5	3	5	2	3	0	7
ANKRD36	8	14	7	4	6	5	13	15
ANKRD36B	6	18	17	10	1	9	22	25
ANKRD36BP1	4	12	7	1	3	22	16	12
ANKRD36BP2	0	0	0	0	0	2	0	0
ANKRD36C	3	4	5	0	3	4	11	13
ANKRD37	20	13	19	15	5	11	10	13
ANKRD39	149	194	251	198	33	149	170	192
ANKRD40	458	635	873	625	245	687	795	1144
ANKRD42	91	180	210	160	22	123	169	191
ANKRD44	4	6	8	10	1	14	8	13
ANKRD44-IT1	0	0	0	0	0	0	0	0
ANKRD45	0	0	2	0	0	1	2	0
ANKRD46	32	35	64	31	23	26	60	56
ANKRD49	18	14	35	36	6	30	32	23
ANKRD50	31	35	44	39	14	59	58	81
ANKRD52	1310	2066	2420	2049	569	1631	2101	2815
ANKRD53	0	1	4	8	0	0	0	1
ANKRD54	423	532	751	517	146	446	542	693
ANKRD55	0	0	3	4	1	0	2	0
ANKRD6	43	54	59	50	31	45	59	75
ANKRD60	1	0	1	0	0	0	1	0
ANKRD61	0	0	6	2	5	10	4	7
ANKRD62	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	0	0	0	2	0	0	0	0
ANKRD63	15	13	12	14	5	5	14	19
ANKRD65	2	1	3	1	2	1	3	1
ANKRD66	0	0	0	0	0	0	0	0
ANKRD7	1	0	0	0	0	0	0	2
ANKRD9	295	396	479	567	182	256	359	422
ANKS1A	193	192	293	253	87	208	298	334
ANKS1B	4	6	5	9	3	6	13	22
ANKS3	501	698	815	827	198	387	504	590
ANKS4B	1	3	1	0	0	0	0	4
ANKS6	461	608	834	678	209	533	647	836
ANKUB1	0	0	0	0	0	0	0	0
ANKZF1	265	374	467	393	110	269	328	377
ANLN	26	35	87	25	265	526	559	708
ANO1	2	0	3	3	0	1	0	0
ANO1-AS2	0	0	0	0	0	0	0	0
ANO10	535	658	1027	807	123	401	412	519
ANO2	6	2	11	18	0	1	1	2
ANO3	0	0	0	0	0	0	0	0
ANO4	3	0	5	1	0	0	1	0
ANO5	8	2	12	13	4	21	11	10
ANO6	380	471	708	409	220	692	745	966
ANO7	14	13	33	13	7	14	22	24
ANO8	103	197	222	236	47	93	101	112
ANO9	13	11	12	23	1	2	3	3
ANOS1	6	9	1	3	0	0	2	0
ANP32A	1665	2083	2620	2075	932	2113	2519	3339
ANP32A-IT1	0	0	0	0	0	1	0	3
ANP32AP1	7	8	13	20	13	8	20	22
ANP32B	2872	3776	4234	3501	2430	4487	5277	6533
ANP32C	2	3	1	9	8	1	8	5
ANP32D	0	0	0	1	1	0	0	0
ANP32E	172	204	205	159	139	427	476	590
ANPEP	246	363	406	350	90	251	336	478
ANTXR1	1569	1965	2894	1781	577	2209	2365	2884
ANTXR2	63	99	107	96	14	46	34	57
ANTXRL	0	0	2	3	0	0	1	1
ANTXRLP1	0	0	0	1	0	0	0	0
ANXA1	7945	9385	12584	8575	3144	8322	9309	11861
ANXA10	194	168	273	167	35	101	169	180
ANXA11	3215	4499	5246	5001	1277	3283	4092	5023
ANXA13	63	73	89	89	4	60	71	75
ANXA2	59949	77917	93361	78027	21140	55514	68246	87083
ANXA2P1	107	188	125	215	94	95	148	165
ANXA2P2	2381	3540	2957	4323	1288	1781	2585	3011
ANXA2P3	9	14	19	23	23	13	12	15
ANXA2R	17	22	32	27	5	28	42	44
ANXA3	477	554	772	586	240	440	534	625
ANXA4	2712	3952	4711	4029	962	2053	2320	2980
ANXA5	4191	5089	7081	5036	1360	3878	4621	5948
ANXA6	1238	1426	1817	1566	307	1112	1221	1647
ANXA7	1386	1620	2062	1536	433	1331	1500	1991
ANXA8	402	617	667	759	96	176	272	323
ANXA8L1	550	810	862	901	156	260	383	473
ANXA9	72	112	119	125	5	30	56	65
AOAH	0	0	1	1	6	0	0	0
AOAH-IT1	0	0	0	0	0	0	0	0
AOC1	0	0	0	0	0	12	0	0
AOC2	64	38	82	75	20	54	57	79
AOC3	13	42	23	36	6	17	25	22
AOC4P	1	0	4	3	0	1	0	1
AOX1	80	109	145	109	16	42	73	58
AOX2P	0	1	0	0	0	0	0	0
AOX3P-AOX2P	0	0	0	0	0	0	0	0
AP1AR	19	48	54	48	12	46	46	66
AP1B1	1274	1811	2213	2093	561	1376	1658	2114
AP1B1P1	0	0	0	1	0	0	0	2
AP1G1	345	379	580	360	163	598	767	894
AP1G2	643	776	1077	980	183	463	590	736
AP1M1	898	1240	1783	1436	367	933	1170	1547
AP1M2	248	324	479	349	138	343	505	677
AP1S1	2285	2916	4150	3219	670	1731	2371	2881
AP1S2	39	31	51	70	13	78	64	95
AP1S3	211	342	367	330	59	212	307	338
AP2A1	2526	3506	4731	4558	1066	2313	2815	3561
AP2A2	1290	1765	2470	2042	670	1130	1598	1938
AP2B1	4801	5538	7806	5392	1879	5759	6821	8728
AP2M1	6053	7928	10625	8760	2006	5599	7209	9198
AP2S1	2774	3624	4936	4415	1229	2622	3290	4193
AP3B1	456	534	776	596	229	515	529	654
AP3B2	19	32	38	24	1	9	14	15
AP3D1	2709	3952	4893	4455	1250	2791	3464	4312
AP3M1	147	190	330	190	158	328	320	437
AP3M2	158	209	299	201	109	217	283	346
AP3S1	175	191	340	244	99	152	173	256
AP3S2	71	51	103	84	15	58	83	91
AP4B1	89	138	131	122	51	76	138	176
AP4B1-AS1	1	1	1	2	1	1	0	3
AP4E1	183	228	252	229	59	170	186	236
AP4M1	251	349	411	407	64	247	300	343
AP4S1	122	198	209	157	34	133	164	157
AP5B1	459	702	797	737	185	536	635	817
AP5M1	29	64	88	64	29	64	81	101
AP5S1	417	643	904	722	220	481	612	783
AP5Z1	750	1105	1569	1419	268	647	665	934
APAF1	130	237	244	174	31	127	151	176
APBA1	24	8	16	6	1	1	4	4
APBA2	892	1111	1594	1354	302	804	912	1280
APBA3	255	347	446	439	71	158	162	210
APBB1	504	813	977	875	185	479	574	614
APBB1IP	454	678	843	684	144	369	405	386
APBB2	96	153	116	136	48	121	115	246
APBB3	82	129	175	144	17	53	93	96
APC	48	37	92	32	43	118	83	149
APC2	22	36	47	43	15	18	35	80
APCDD1	0	0	1	0	1	0	4	0
APCDD1L	8	9	2	17	5	0	1	7
APCDD1L-AS1	1	0	1	2	0	0	0	0
APCS	1	0	0	1	0	0	0	0
APEH	1057	1457	1690	1652	403	993	1314	1537
APELA	0	0	0	0	0	0	0	0
APEX1	3374	4548	6057	4653	1407	4190	4697	6233
APEX2	692	1062	1355	1174	331	727	1096	1284
APH1A	1463	1996	2627	2041	579	1704	2187	2770
APH1B	245	200	436	268	23	171	204	258
API5	171	252	325	230	178	423	541	590
APIP	202	277	325	249	95	293	320	379
APITD1	54	71	78	57	26	55	84	81
APITD1-CORT	2	6	10	3	6	18	9	21
APLF	6	6	32	14	8	14	18	8
APLN	8	13	16	20	17	22	45	49
APLNR	1	0	3	0	2	0	1	0
APLP1	2497	3384	4654	3888	524	1005	1399	1764
APLP2	4068	5316	7088	5487	1577	4366	5289	6551
APMAP	2630	3388	4337	3735	1139	3040	3715	4484
APOA1	1	2	0	5	0	1	1	1
APOA1-AS	0	0	0	0	0	0	0	0
APOA1BP	2354	3099	4060	3642	832	2041	2456	3313
APOA2	0	0	0	0	0	0	0	0
APOA4	0	0	0	0	0	0	0	0
APOA5	4	2	0	5	1	5	1	2
APOB	0	0	0	0	0	2	0	1
APOBEC1	0	0	0	0	0	0	0	0
APOBEC2	0	0	0	0	0	0	0	1
APOBEC3A	0	2	2	6	11	6	5	8
APOBEC3A_B	0	0	0	0	0	0	0	0
APOBEC3B	39	37	49	56	85	181	248	370
APOBEC3B-AS1	0	1	1	1	1	2	1	1
APOBEC3C	1125	1237	1923	1441	134	446	565	809
APOBEC3D	16	16	35	30	3	11	8	18
APOBEC3F	153	285	231	259	36	65	97	164
APOBEC3G	3	7	7	6	0	1	3	7
APOBEC3H	17	5	18	13	0	1	2	5
APOBEC4	0	0	0	0	0	0	0	0
APOBR	6	4	5	3	0	2	0	1
APOC1	247	332	395	413	105	206	294	351
APOC1P1	4	9	5	10	2	5	10	6
APOC2	0	0	0	0	0	0	0	0
APOC3	0	0	0	0	0	0	0	0
APOC4	0	0	0	0	0	0	0	0
APOC4-APOC2	0	0	0	1	0	1	0	0
APOD	12	15	17	25	1	1	4	1
APOE	759	957	1294	1227	143	163	235	240
APOF	0	0	0	0	0	0	0	0
APOH	34	25	59	26	14	65	54	50
APOL1	1198	1507	1850	1548	245	590	745	882
APOL2	998	1305	1599	1397	331	815	962	1276
APOL3	25	19	16	22	7	13	9	64
APOL4	4	3	5	12	2	2	2	5
APOL5	0	2	0	0	0	0	0	0
APOL6	303	399	459	417	74	236	279	415
APOLD1	1	6	7	10	1	2	4	11
APOM	0	0	0	0	0	0	0	0
APOO	290	326	493	309	77	198	249	384
APOOL	43	100	71	67	23	72	128	115
APOOP5	1	2	1	1	0	1	0	0
APOPT1	543	692	1063	744	193	418	495	611
APP	9251	12916	15688	13357	3466	8387	9819	12185
APPBP2	119	120	244	152	32	163	170	242
APPL1	94	138	156	155	45	229	201	257
APPL2	189	257	355	234	85	241	247	290
APRT	1517	2120	2763	2817	666	1484	1873	2383
APTR	50	49	63	76	16	41	33	65
APTX	698	802	959	807	244	607	708	825
AQP1	7	4	8	6	0	1	0	1
AQP10	1	0	1	0	1	0	0	1
AQP11	112	142	242	171	23	93	93	111
AQP12A	0	0	0	0	0	0	0	0
AQP12B	0	0	0	0	0	0	0	0
AQP2	0	0	0	0	0	0	0	0
AQP3	15	12	31	39	2	7	12	7
AQP4	0	4	0	2	0	2	0	0
AQP4-AS1	0	0	0	0	0	0	0	0
AQP5	1	0	0	0	1	1	0	1
AQP6	0	3	1	4	1	1	0	1
AQP7	1	6	8	2	1	1	2	2
AQP7P1	0	0	0	0	0	6	0	0
AQP7P3	1	0	0	0	0	0	0	0
AQP8	0	0	0	0	0	0	1	0
AQP9	0	1	1	2	0	0	0	0
AQR	541	609	915	617	195	549	764	868
AR	378	453	676	498	156	444	539	650
ARAF	687	1014	1238	1130	424	959	1175	1568
ARAP1	1878	2617	3299	3016	484	1014	1304	1632
ARAP2	3	1	9	5	8	13	3	18
ARAP3	268	362	491	458	91	227	295	360
ARC	11	16	37	22	0	2	2	0
ARCN1	719	974	1241	877	309	975	1059	1363
AREG	32	47	30	41	34	51	59	67
AREL1	549	667	916	742	202	782	842	1063
ARF1	6234	8963	12282	10024	1968	5463	7069	8785
ARF3	3040	3861	5182	4175	840	2915	3813	4731
ARF4	483	462	849	528	157	513	576	813
ARF4-AS1	6	12	6	15	3	6	2	7
ARF5	2081	2549	3668	3135	707	1537	2073	2453
ARF6	800	1092	1418	1165	431	1017	1159	1551
ARFGAP1	1992	2881	3743	3344	688	1514	1917	2367
ARFGAP2	697	806	1032	959	198	558	651	766
ARFGAP3	199	231	439	235	56	211	209	243
ARFGEF1	110	130	220	133	74	123	168	178
ARFGEF2	271	308	396	315	140	371	508	572
ARFGEF3	99	157	219	137	22	103	121	153
ARFIP1	32	82	61	71	60	61	78	97
ARFIP2	1455	1870	2480	2006	399	1234	1400	1851
ARFRP1	377	470	655	620	183	309	403	450
ARG1	0	0	0	0	0	0	0	0
ARG2	21	27	77	27	2	24	19	26
ARGFX	0	0	0	0	0	0	0	0
ARGFXP2	0	0	0	0	0	0	0	0
ARGLU1	153	184	336	246	119	242	285	371
ARHGAP1	1105	1595	1987	1722	414	1250	1398	1860
ARHGAP10	226	307	297	227	77	187	164	299
ARHGAP11A	38	44	75	52	109	276	305	372
ARHGAP11B	4	1	8	2	7	25	7	10
ARHGAP12	80	80	147	64	64	207	108	156
ARHGAP15	0	1	1	0	0	0	0	0
ARHGAP17	534	708	960	709	171	604	751	895
ARHGAP18	65	94	149	70	62	155	190	209
ARHGAP19	29	20	29	36	9	61	74	80
ARHGAP19-SLIT1	0	0	0	1	0	1	0	0
ARHGAP20	2	0	0	0	0	0	1	0
ARHGAP21	607	741	1111	702	217	955	1044	1371
ARHGAP22	86	139	166	138	17	44	78	106
ARHGAP23	522	711	1082	838	190	535	632	786
ARHGAP24	130	135	156	135	33	57	137	155
ARHGAP25	28	18	43	28	9	6	12	25
ARHGAP26	227	241	367	268	90	292	329	462
ARHGAP26-AS1	0	0	0	0	0	0	0	0
ARHGAP26-IT1	0	0	0	0	0	0	0	0
ARHGAP27	13	23	15	26	9	6	20	17
ARHGAP28	0	0	0	0	0	0	0	0
ARHGAP29	25	25	41	20	27	44	44	59
ARHGAP30	8	24	38	24	2	8	5	11
ARHGAP31	168	176	245	177	50	183	237	242
ARHGAP31-AS1	0	2	3	0	0	1	4	0
ARHGAP32	96	175	219	160	26	195	189	203
ARHGAP33	24	59	59	42	38	93	112	143
ARHGAP35	1459	2131	2622	2242	685	2104	2377	2905
ARHGAP36	0	1	0	0	0	0	0	0
ARHGAP39	308	422	612	534	181	311	470	576
ARHGAP4	54	80	119	107	15	20	32	37
ARHGAP40	0	28	0	0	0	0	0	1
ARHGAP42	29	44	56	42	14	44	38	71
ARHGAP44	126	109	162	136	33	109	120	120
ARHGAP5	53	42	98	42	11	57	72	81
ARHGAP5-AS1	105	166	192	200	28	65	73	57
ARHGAP6	0	0	2	1	1	0	0	1
ARHGAP8	0	0	0	0	0	2	1	0
ARHGAP9	1	7	4	6	0	2	4	9
ARHGDIA	4740	6399	8784	8331	2838	5891	7428	8967
ARHGDIB	21	43	71	48	5	19	18	19
ARHGDIG	18	14	20	19	12	2	6	20
ARHGEF1	2126	3177	4070	4050	1107	2124	2761	3164
ARHGEF10	337	498	672	514	255	592	737	1014
ARHGEF10L	400	642	828	697	159	328	404	467
ARHGEF11	918	1218	1665	1320	231	1000	1149	1493
ARHGEF12	252	264	424	372	113	464	581	696
ARHGEF15	3	1	0	4	2	5	0	2
ARHGEF16	76	130	178	157	24	77	99	123
ARHGEF17	368	454	641	601	167	487	595	729
ARHGEF18	712	1074	1368	1141	265	670	863	1070
ARHGEF19	88	101	127	126	12	51	69	124
ARHGEF2	781	1181	1562	1179	198	542	714	971
ARHGEF25	279	384	512	424	73	155	253	368
ARHGEF26	28	29	43	20	16	56	73	77
ARHGEF26-AS1	0	0	0	0	0	0	1	0
ARHGEF28	438	573	886	597	139	469	474	712
ARHGEF3	94	127	228	117	37	91	107	146
ARHGEF3-AS1	0	0	0	0	0	0	0	0
ARHGEF33	0	0	1	1	1	0	0	0
ARHGEF34P	0	0	0	4	0	0	0	0
ARHGEF35	1	1	0	1	0	0	0	1
ARHGEF37	25	44	54	50	7	9	15	22
ARHGEF38	6	7	9	16	4	0	7	1
ARHGEF38-IT1	0	0	0	0	0	0	0	0
ARHGEF39	56	76	98	71	67	210	288	343
ARHGEF4	52	97	123	96	11	10	30	26
ARHGEF40	517	758	904	790	186	496	621	774
ARHGEF5	1	0	5	0	0	1	0	0
ARHGEF6	18	9	25	26	5	3	4	2
ARHGEF7	278	376	504	431	113	396	462	566
ARHGEF7-AS1	0	0	0	0	0	0	0	0
ARHGEF7-AS2	1	0	0	0	0	0	0	0
ARHGEF9	196	211	306	240	61	220	217	268
ARHGEF9-IT1	0	0	0	0	0	0	0	0
ARID1A	307	465	743	549	234	650	835	997
ARID1B	248	379	481	421	167	446	650	757
ARID2	100	93	162	72	44	166	184	252
ARID3A	214	323	320	408	54	115	130	177
ARID3B	67	54	92	79	22	46	64	81
ARID3C	2	1	2	1	2	0	0	0
ARID4A	76	114	167	90	46	112	112	100
ARID4B	175	224	290	199	120	203	214	248
ARID5A	105	134	133	149	27	61	101	73
ARID5B	49	58	102	63	16	33	37	51
ARIH1	308	368	439	373	221	372	465	558
ARIH2	807	1146	1247	1090	326	982	1171	1468
ARIH2OS	20	23	48	35	20	14	23	26
ARL1	446	561	744	468	140	397	489	570
ARL10	0	0	4	2	0	0	2	1
ARL11	1	0	0	0	0	0	0	0
ARL13A	0	0	6	2	0	0	1	3
ARL13B	60	64	56	66	33	121	79	118
ARL14	1	0	12	9	0	3	1	2
ARL14EP	89	123	134	153	53	125	159	185
ARL14EPL	0	1	1	2	4	0	3	1
ARL15	13	14	19	4	9	17	25	33
ARL16	253	354	453	491	115	325	394	436
ARL17A	19	20	19	7	3	19	23	25
ARL17B	0	0	0	0	0	0	0	0
ARL2	1466	2040	2881	2792	580	1172	1439	1925
ARL2-SNX15	3	11	9	16	5	8	9	12
ARL2BP	433	548	821	510	248	606	767	839
ARL3	378	433	589	470	148	535	551	708
ARL4A	39	32	78	55	27	66	50	100
ARL4C	2675	3657	4995	4052	960	2107	2758	3271
ARL4D	454	582	739	684	134	253	338	410
ARL5A	36	61	84	79	48	66	72	99
ARL5B	10	12	4	19	7	18	20	18
ARL5C	0	0	0	0	1	0	0	0
ARL6	18	33	30	24	9	20	26	22
ARL6IP1	295	373	501	375	478	1031	1095	1332
ARL6IP4	1823	2526	3263	3179	856	1430	1852	2382
ARL6IP5	539	618	934	649	249	583	678	767
ARL6IP6	33	26	26	52	42	63	65	100
ARL8A	1106	1688	2070	2188	245	763	996	1194
ARL8B	223	245	325	290	115	232	354	353
ARL9	0	0	0	0	0	0	0	0
ARMC1	126	167	234	145	60	199	282	304
ARMC10	183	262	290	313	124	196	318	376
ARMC12	12	9	16	9	1	2	7	21
ARMC2	13	5	9	15	1	6	1	21
